gene_id	median_absolute_deviation
1072	6552.622437740134
1282	6535.095870013424
462	6530.789352832156
3309	6529.437557613036
6218	6518.467036213071
4637	6505.336321937906
4059	6463.2002010841115
1958	6451.419727159191
8857	6441.7848235301135
125	6439.381703779287
8878	6364.4126259593395
6160	6360.0648484277135
1356	6334.726788476862
5037	6327.0071330096525
4155	6314.916217992835
293	6274.834952150587
3866	6273.49581984539
4323	6263.924603315369
7077	6226.465045239919
4478	6198.412790989912
1289	6152.6536084912705
6648	6152.4715272330795
3918	6143.972149916341
2064	6133.3250442763565
7846	6125.258457987328
5339	6124.290668875343
10653	6107.884871543486
6136	6099.596814393989
4313	6094.76585526296
6513	6083.649710848314
1116	6082.145264522652
2192	5967.003821300874
4035	5964.9225798057905
3945	5909.527423098244
347	5884.1325412533015
6159	5856.367491006401
7171	5851.555242446992
966	5841.274203620278
9349	5821.836360117771
4061	5815.538481031131
727897	5811.271517243797
1364	5787.94159814991
1843	5783.40933512983
7314	5775.900182553935
7057	5728.321863679604
25873	5728.080666117412
928	5669.3867634391045
1476	5652.970688220925
3490	5637.155864177125
4072	5633.247880289893
5354	5626.3135376273085
360	5619.607385897043
216	5609.57686451824
3512	5591.12582128511
11224	5580.966224221276
821	5578.755845746067
1645	5577.765461363674
290	5573.046507165202
5230	5572.9647942861975
3485	5572.1223874279885
6228	5559.744973602553
715	5550.99315407902
975	5545.446451632016
4000	5515.82416320498
4502	5511.573421494384
1363	5501.029388623021
9547	5499.644290831874
4353	5478.907792777386
7167	5470.967104769436
3700	5467.520683550373
999	5456.791345223377
4915	5450.202340090619
3934	5446.688003795234
1152	5439.775708575793
5216	5414.0682472380595
10577	5408.447159043131
3675	5406.315288606317
81618	5399.141004978948
5266	5398.381419600405
388	5388.312779763295
595	5387.758810417342
1471	5382.675423524938
8682	5367.961518670559
5792	5367.407547881696
3339	5364.884360510478
3429	5360.359451226937
11167	5350.784355272445
5479	5320.088318289416
506	5283.114344188599
5270	5262.987233075465
25800	5254.1651671528925
3133	5243.320019338485
2537	5241.0753781974945
80781	5232.944516073793
3123	5182.283914479662
1465	5143.848282908251
7033	5082.844612549984
3113	5078.935919830851
6152	5069.05805510602
6711	5068.9848213285595
6155	5062.530957237218
3691	5049.711018447017
4736	5044.888391986603
6227	5043.780765778986
6165	5024.1113461081595
7453	4980.709027929782
2896	4973.2964802268125
1621	4962.442121173617
445	4957.147773601375
3698	4928.713110117338
3914	4927.771796750146
5644	4914.563581136243
2923	4906.942055464253
4282	4905.180400553382
81	4904.516892228958
6154	4895.64916488088
6385	4889.6637015985925
7169	4876.520281687192
771	4847.176634662398
7052	4840.567323530448
6210	4839.059419253503
3688	4829.194503096822
5320	4817.575817992455
4666	4808.363691899534
3075	4775.827583929543
7145	4772.1860102527335
1462	4765.771857500723
7430	4753.686844308417
3956	4751.609285065801
5967	4718.202612451515
375790	4706.422244095365
800	4701.905048012363
4638	4647.703237946305
5803	4641.916911138198
6303	4628.379743803787
388524	4617.479832236318
1982	4614.612480286046
23650	4606.6410960558815
6281	4595.618962195132
7422	4588.465600311539
1999	4587.573730636318
1373	4568.105530350472
9045	4541.45825020797
2317	4532.477287401425
10169	4530.374731477075
1303	4502.709909276527
1936	4478.022334963986
1290	4456.091571417317
6233	4439.524401662838
51280	4417.735162906341
4192	4407.317184706599
9289	4394.375601461665
3958	4393.64136279888
28959	4392.03424371234
7311	4369.710262150648
1308	4356.867892516757
8140	4356.617907922986
810	4301.354550885813
3069	4284.38741028141
7168	4274.324332227477
284119	4250.211069112903
7450	4224.5330018514705
2697	4218.115350366526
9476	4215.145473345161
56901	4209.791591211911
10103	4206.276991767073
9076	4206.2208626547645
3329	4205.801773960811
780	4201.659618599658
7538	4201.076723996201
217	4193.041999784713
5176	4185.867204103897
3158	4181.652455494104
6201	4171.678877626187
5098	4164.086490875687
6772	4155.625261769536
3960	4147.449359536854
2273	4139.926898540334
2706	4130.156533393722
2628	4094.9712418681474
3021	4074.414997690404
4320	4062.4337064222264
84790	4060.679287899866
4071	4057.8063831501413
4837	4052.6998569832353
6288	4051.7449647224203
57447	4049.008594231744
2877	4042.969243865693
1382	4024.855278586215
85414	4013.0575344655967
